,Asset List,,,,,,,,,
,Asset Name,Address,,CO/Acq. Date,Portfolio,Ownership,Tranche,Market,Management,Address_cont
,San Antonio-Thousand Oaks,3425 Thousand Oaks Dr,"San Antonio, Texas",11/1/23,Security,Clarion,,San Antonio,Public Storage,"San Antonio, TX 78247"
,San Antonio-West Ave,13414 West Ave,"San Antonio, Texas",11/1/23,Security,Clarion,,San Antonio,Public Storage,"San Antonio, TX 78216"
,Houston-Dairy Ashford,1611 S Dairy Ashford Rd,"Houston, Texas",11/1/23,Security,Clarion,,Houston,Public Storage,"Houston, TX 77077"
,Houston-Main,8100 S Main St,"Houston, Texas",11/1/23,Security,Clarion,,Houston,Public Storage,"Houston, TX 77025"
,Houston-Stroud,9740 Stroud Dr,"Houston, Texas",11/1/23,Security,Clarion,,Houston,Public Storage,"Houston, TX 77036"
,Houston-Westheimer,9526 Westheimer Rd,"Houston, Texas",11/1/23,Security,Clarion,,Houston,Public Storage,"Houston, TX 77063"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Asset 100,,,5/8/17,,,,,,
